no,split_index
1,6
2,9
3,13
4,14
5,26
6,29
7,33
8,38
9,40
10,42
11,43
12,48
13,52
14,57
15,69
16,74
17,94
18,100
19,105
20,106
21,107
22,112
23,125
24,126
25,128
26,145
27,146
28,147
29,155
30,158
31,157
32,171
33,176
34,180
35,181
36,187
37,202
38,204
39,206
40,224
41,240
42,252
43,256
44,267
45,271
46,277
47,285
48,286
49,290
50,296
51,298
52,301
53,318
54,320
55,321
56,334
57,335
58,349
59,356
60,360
61,363
62,364
63,373
64,374
65,375
66,377
67,387
68,391
69,394
70,404
71,405
72,411
73,419
74,423
75,425
76,432
77,433
78,440
79,443
80,445
81,447
82,454
83,457
84,464
85,467
86,468
87,478
88,479
89,483
90,485
91,486
92,487
93,488
94,504
95,505
96,507
97,513
98,516
99,518
100,519
101,523
102,531
103,532
104,545
105,553
106,566
107,567
108,570
109,571
110,579
111,589
112,590
113,595
114,605
115,608
116,611
117,613
118,632
119,635
120,638
121,640
122,641
123,642
124,644
125,647
126,649
127,662
128,663
129,666
130,668
131,672
132,683
133,685
134,686
135,690
136,699
137,700
138,702
139,703
140,706
141,711
142,719
143,722
144,725
145,729
146,731
147,739
148,748
149,753
150,771
151,773
152,782
153,788
154,790
155,799
156,801
157,809
158,810
159,813
160,816
161,820
162,824
163,829
164,839
165,843
166,844
167,847
168,857
169,858
170,866
171,878
172,880
173,895
174,903
175,909
176,914
177,919
178,921
179,923
180,925
181,926
182,939
183,940
184,945
185,953
186,954
187,955
188,957
189,959
190,973
191,978
192,984
193,985
194,987
195,989
196,997
197,998
198,1003
199,1009
200,1014
201,1018
202,1021
203,1022
204,1027
205,1029
